번호,식품명,주재료,조리법,추천태그,이미지태그,지도검색어,description,ingredient,recipe,source,original name
376,감자크로켓,"감자가루반죽, 밀가루, 소금",튀김,"#서양식, #디저트, #간편식",#빵,베이커리,크로켓을 동글동글 귀엽게 튀겨내어 아이들 입에 쏙 넣어주세요. 채소를 싫어하는 아이들에게 다양한 채소를 골고루 먹일 수 있는 좋은 방법이랍니다. 아이들은 물론 어른들 간식으로도 참 좋은 기특한 메뉴예요. 갓 튀겨낸 바삭한 크로켓을 베어 물면 세상 무엇도 부럽지 않지요. 튀김옷을 입힐 때 젖은 빵가루를 사용하면 더욱 바삭한 크로켓이 완성될 거예요.,"감자%4~5개, 다진 양파%4큰술, 다진 피망.파프리카%3큰술씩, 다진 당근%3큰술, 다진 파슬리%2큰술, 소금.후추%약간씩, 카놀라유%적당량, 케첩%약간, 밀가루%1컵, 빵가루%1컵, 달걀%1개, 소금.후추%약간씩"," 달군 팬에 기름을 두르고 다진 양파, 피망, 파프리카, 당근을 살짝 볶아서 한 김 식혀주세요. 볼에 삶은 감자를 으깨고 앞서 볶은 채소에 다진 파슬리를 넣고 소금·후추로 간을 해 섞어주세요. 재료들이 고루 섞이면 동그란 모양으로 빚어 밀가루, 달걀물, 빵가루 순으로 튀김옷을 입혀주세요. 냄비에 반죽이 잠길 정도로 카놀라유를 붓고 기름 온도를 170도로 올려주세요. 중불로 줄인 후 크로켓을 튀겨주세요. 노릇하게 튀겨낸 크로켓은 키친타월에 올려 기름을 충분히 빼준 후 케첩이나 칠리소스를 곁들여냅니다.",우리의 식탁,감자크로켓
377,롤케이크,"빵, 크림",롤,"#서양식, #디저트, #간편식",#빵,베이커리,달걀흰자에 설탕을 넣고 거품을 내어 구운 스펀지케이크에 잼이나 크림을 바른 케이크입니다.,"박력분, 설탕(1), 물엿, 소금, 물, 바닐라향, 설탕(2), 달걀, 베이킹파우더, 식용유, 토핑, 잼","1. 달걀은 노른자와 흰자로 분리한다. 이 때 흰자에 하기 위해 작업대 위에서 가볍게 내리친다. 식 재 료 분 량 (g)노른자가 섞이지 않도록 한다. 6. 노른자 또는 본 반죽의 일부에 캐러멜 색소를 섞어  박   력   분    20      80   2. 노른자에 설탕(1), 물엿, 소금을 넣고 거품기로 믹싱 무늬용 반죽을 만들어 2mm 원형 깍지를 넣은  설 탕 ( 1 )    15     60   하여 설탕이 완전히 녹은 다음 물과 바닐라향을 넣어 짤주머니에 담아 팬닝한 반죽 표면 2/3부분에  물       엿    2       8    섞는다. 노른자가 거의 흰색이 될 때까지 믹싱한다. 가늘게(1.5~2cm) 갈지자(之)로 짠 다음 나무      물         4      12   3. 흰자를 1단계까지(60%) 거품을 올린 다음 설탕(2)를 젓가락으로 무늬를 만든다  바 닐 라 향   0.3      1    넣으면서 2단계(중간 피크, 80%)까지 거품을 올려 7. 윗불 200℃, 밑불 160℃에서 15~20분 정도 굽는다.  달       걀    50     200  머랭을 만든다. 8. 물에 적셔 꽉 짠 면포를 깔고 그 위에 구워낸  베이킹파우더   0.3      1    4. 노른자 반죽, 머랭 1/3, 체에 친 밀가루와 베이킹 시트를뒤집어 뺀다. 무늬 있는 부분이 밑을 향하도록 식 용 유 토핑 9 36파우더를 믹싱볼에 넣어 나무주걱으로 살살 혼합 엎어 무늬 있는 쪽을 말기 시작하는 반대 방향을 잼 15 60한 후, 반죽 약간을 다른 볼에 덜고 식용유를 넣어 향하게 한다. 물칠하여 종이를 떼어내고 스패튤러를  조 리 후 중 량    100     400  가볍게 섞은 것을 본 반죽에 섞고 나머지 머랭을 이용하여 잼을 얇게 바른다. 말기 시작하는 부분넣어 혼합한다. 재료의 혼합이 균일하되 머랭이 양쪽 끝에 스패튤러로 칼집을 내어 잘 말리도록 하고사그라지지 않도록 한다. 나무 밀대를 이용하여 만다.5. 철판에 깔개종이를 깔고 윗면을 고무주걱으로평평하게 팬닝한다. 팬닝 후 큰 공기 방울을 제거사용조미료 : 설탕, 물엿, 소금, 바닐라향, 식용유, 잼",팜킷,롤케이크
378,링도넛,"밀가루반죽, 설탕",튀김,"#서양식, #디저트, #간편식",#빵,도너츠,도넛반죽을 동그랗게 만들어 튀긴 후 슈가파우더를 뿌린 달콤한 도넛입니다.,"박력분, 설탕, 계란, 베이킹파우더, 분유, 소금, 바닐라향, 버터, 부재료, 설탕, 계핏가루","[반죽하기] [모양 만들기]1. 밀가루, 베이킹파우더, 분유, 바닐라향을 섞어 5. 반죽을 밀가루를 뿌린 바닥에 놓고 밀대로두 번 체에 친다. 밀어 0.8~1cm 두께로 만들어 도넛 틀을2.버터는 실온에서 부드러운 상태로 준비하고, 이용해 찍는다.계란은 잘 풀어놓는다.3. 부드러운 버터에 소금과 설탕을 2~3번 [튀기기]나누어 넣으며 핸드믹서를 이용해 뽀얀 6.식용유를 발라둔 접시나 쟁반에 도넛을 놓아크림 상태로 설탕을 다 녹여주고 풀어놓은 두고, 170℃의 기름에서 밝은 갈색이 나도록계란을한 개 분량씩 넣으며 분리되지 않도록 튀긴다.잘 섞는다.4. 3에 1을 넣고 나무주걱으로 자르듯이 가볍게 [계피설탕 만들기]섞어주고, 비닐로 덮어 상온에서 10분간 둔다. 7. 설탕, 계핏가루를 섞어 계피설탕을 만든다.[만들기]8.튀긴 도넛이 식으면 계피설탕을 살짝 묻힌다.사용조미료 : 백설탕, 꽃소금, 바닐라향, 버터, 계핏가루",팜킷,링도넛
379,마늘빵,"마늘, 빵",오븐구이,"#서양식, #디저트, #간편식",#빵,베이커리,다진 마늘과 버터를 섞은 소스를 발라 구운 빵입니다.,"식빵, 녹인버터, 마늘, 설탕, 파슬리가루","식빵을 2등분한다. 마늘을 마늘슬라이스로 다진다.다진마늘 대신 마늘톡톡 1/2봉을 넣어 간편하게 만들어도 좋아요 다진 마늘에 녹인 버터, 설탕, 파슬리가루를 넣어 섞는다.버터는 전자레인지에 40초 정도 돌려주세요. 식빵 위에 마늘 소스를 바른다. 에어프라이어에 180도에서 10분간 구워 완성한다.",만 개의 레시피,마늘빵
380,머핀,"밀가루반죽, 계란, 설탕, 버터",오븐구이,"#서양식, #디저트, #간편식",#빵,베이커리,버터 대신 식물성 오일을 사용해 칼로리를 낮춘 건강한 머핀입니다.,"중력분, 박력분, 베이킹파우더, 베이킹소다, 소금, 무염버터(실온), 설탕, 흑설탕, 꿀, 달걀, 바닐라에센스, 우유","1. 중력분, 박력분, 베이킹파우더, 베이킹소다는 체에 쳐서 중간크기의 믹서볼에 넣고 소금을 넣어 잘 섞는다.2. 믹서에 혼합기를 세팅하고 버터를 넣는다. 볼을 중탕하여 데우면서 버터가 크림처럼 될 때까지 중속에서저속으로 돌린다. 설탕을 넣고 버터가 폭신해질 때까지 1분 정도 섞는다. 볼 옆면과 바닥을 긁어준 후,흑설탕과 꿀을 넣고 저속으로 1분 정도 돌려서 골고루 섞는다. 달걀과 바닐라에센스를넣고잘섞일때까지저속으로 30초 정도 돌린다.3. 2에 밀가루 혼합물의 절반을 넣고 잘 섞일 때까지 저속으로 돌리다가 우유의 절반을 넣고 15~30초 동안섞는다. 나머지 밀가루 혼합물을 넣고 똑같이 반복하여 반죽을 만든다. 반죽을 밀폐용기에 담고 하룻밤냉장고에 넣어둔다.4. 오븐은 220℃로 예열한다. 머핀팬에 머핀컵을 깔고 냉장고에서 반죽을 꺼내 부드러워 지기 시작할 때까지실온에 5분 동안 둔다. 짤주머니를 이용하여 반죽을 머핀컵에 고르게 담는다. 컵 윗부분 1cm 정도 남기고반죽을 채운다.5. 오븐에 4의 팬을 넣고 온도를 170℃로 낮춘 후 35~40분 동안 굽는다, 머핀이 황갈색을 띠고 꼬지로 가운데를찔렀을 때 아무것도 묻어나오지 않을 때까지 굽는다. 머핀을 꺼낸 후 식힘망 위에 올리고 완전히 식힌다.사용조미료 : 소금, 무염버터, 설탕, 흑설탕, 꿀, 바닐라에센스",팜킷,머핀
381,모닝빵,"밀가루반죽, 계란",오븐구이,"#서양식, #디저트, #간편식",#빵,베이커리,폭신폭신 맛있는 모닝빵을 프라이팬으로 쉽게 만들 수 있어요.,"강력분, 우유, 드라이이스트, 설탕, 소금, 버터, 달걀","따뜻하게 데운 우유 설탕, 드라이이스트를 넣는다. 달걀, 소금을 넣고 섞는다. 볼에 강력분, 1을 넣고 섞다가 2번을 넣고 섞는다. 날가루가 안보이면 도마나, 작업대에 반죽을 옮겨 버터를 넣고 치대듯이 반죽을 한다.반죽이 매끈해 질 때까지 충분히 반죽해주세요 랩을 씌워 따뜻한 곳에 1시간 발효를 한다. 반죽이 부풀면 손가락으로 눌러 가스를 빼고 8등분 한 후 동그랗게 성형한다. 팬에 반죽을 얹고 가장 약불에서 뚜껑을 닫고 익힌다. ",만 개의 레시피,모닝빵
382,모카빵,"밀가루반죽, 계란, 커피, 설탕",오븐구이,"#서양식, #디저트, #간편식",#빵,베이커리,커피향이 은은한 모카빵입니다.,"강력분, 물, 이스트, 제빵개량제, 소금, 설탕, 버터, 탈지분유, 달걀, 커피, 건포도, 토핑용 비스킷, 박력분, 버터, 설탕, 달걀, 베이킹파우더, 우유, 소금","1. 버터와 건포도를 제외한 전 재료를 믹싱볼에 5. 양손으로 반죽을 감싸쥐어 둥글리면서 표면을넣은 후, 1단으로 1분 수화시키고, 2단으로 매끄럽게 한다.2분믹싱한다. 클린업 단계에서 버터를 첨가 6. 실온에서 10~50분간 중간 발효시킨다.하고 1단으로 2분, 2단으로 9~10분 믹싱 7. 가스를 뺀 후 타원형으로 모양을 만든다.한다. 건포도는 믹싱의 최종단계(부드럽고 토핑용 비스킷반죽을 100g씩 분할해 밀어매끄러우며 신장성이 최대인 단계)에 저속 펴고(3~4mm 두께) 반죽 위에 덮어 씌운다.으로 가볍게 섞는다(건포도는 건포도 양의 8. 이음매가 밑을 향하도록 하여 간격을 맞추어12% 물에 4시간 담금). 철판에 놓는다.2. 온도 27℃, 습도 75~80%에서 50~80분간 9. 온도 35~38℃, 습도 85%에서 2차 발효시킨다1차 발효시킨다. (25~35분 정도).3. 버터를 부드럽게 풀어준 후 설탕, 소금을 넣고 10. 윗불 190℃, 밑불 160℃에서 30분 정도믹싱하면서 달걀을 투입하여 크림화한다. 굽는다.박력분과 베이킹파우더를 넣고 나무주걱으로저은 뒤 물에 녹인 커피를 섞어준다. 비닐에싸서 냉장휴지 시킨다.4. 250g씩 분할한다.사용조미료 : 소금, 설탕, 버터",팜킷,모카빵
383,베이글,"밀가루반죽, 소금",오븐구이,"#서양식, #디저트, #간편식",#빵,베이글,베이글은 도넛 모양으로 생긴 딱딱한 빵으로 주로 아침식사에 많이 먹습니다.,"강력분, 물, 이스트, 제빵개량제, 소금, 설탕, 식용유","1. 모든 재료를 믹싱볼에 넣고 1단에서 1분 6. 평철판에 팬닝하고 온도 30~35℃, 습도믹싱 후 2단에서 10~15분 정도 믹싱하여 75~80%에서 20~30분 정도 상태를 보며부드럽고 매끄러우며 신장성이 최대인 단계로 2차 발효시킨다(80% 발효 상태).만든다. 7. 90~95℃의 물에 앞면부터 닿도록 넣고 바로2. 온도 27℃. 습도 75~80%의 발효실에서 뒤집어 20초정도 앞뒤로 데쳐 물기를 빼고50~60분간 1차 발효시킨다(부피가 3배 앞면이 위로 올라오도록 팬닝 한다.정도 될 때까지 발효). 8. 윗불 220℃, 밑불 180℃의 오븐에서 20분3. 반죽을 80g씩 분할하여 둥글리기 한다. 정도 굽는다.4. 반죽이 마르지 않도록 비닐을 덮어 실온에서10분간 중간 발효시킨다(부피가 2배 정도 될때까지 발효).5. 반죽을 밀대로 밀거나 손바닥으로 납작하게늘린 후, 접어 막대형으로 돌돌 만다. 반죽의끝부분을 밀대로 납작하고 얇게 눌러준 다음다른 한쪽 끝을 넣고 감싸 연결한다.사용조미료 : 소금, 설탕, 식용유",팜킷,베이글
384,사과파이,"사과, 밀가루반죽",오븐구이,"#서양식, #디저트, #간편식",#빵,베이커리,사과의 달콤함과 계피향이 어우러진 디저트입니다.,"중력분, 설탕, 소금, 무염버터, 얼음물, 아몬드파우더, 설탕, 달걀노른자, 버터, 사과, 설탕, 레몬즙, 시나몬파우더","[사과조림] 사과는 4등분하여 씨를 제거하고 일정한 두께로 썰어 냄비에 설탕과 레몬즙, 시나몬을 넣고 섞어요. 타지 않도록 주걱으로 저어주면서 수분이 줄어들고 윤기가 날 때까지 중불에서 15~20분 조려요. 조려진 사과는 차갑게 식혀 사용해요. [파이도우] 볼에 중력분, 설탕, 소금을 넣고 섞은 후 차가운 버터를 넣고 보스보슬해질 때까지 잘 섞어요. 4에 얼음물을 넣고 가루가 보이지 않도록 섞어요. 한 덩어리로 만들어 밀대로 민 후 냉장고에서 30분~1시간 휴지시켜요. [아몬드크림] 볼에 버터를 넣고 잘 풀어준 뒤 설탕을 넣고 섞어요. 달걀 노른자, 아몬드파우더를 넣고 잘 섞어 크림을 만들어요. [파이완성] 휴지시킨 반죽의 1/2분량을 밀대를 이용해 지름 15~20cm 넓이로 펴요. 틀에 반죽을 올리고 파이 반죽의 밑바닥에 아몬드 크림을 바르고 사과 조림을 올려요. 남은 1/2분량 반죽을 밀대를 이용해 15~20cm 넗이로 민다음 길게 2cm 길이로 잘라요. 사과조림 위로 격자무늬가 되게 올려 끝을 눌러 마무리 해요.달걀 노른자를 발라주면 더 윤기나고 갈색이 나요. 180도 예열한 오븐에 넣고 35~40분간 구워 완성해요.오븐오븐의 사양에 따라 온도와 시간을 조절해 주세요.",만 개의 레시피,사과파이
385,소보로빵,"밀가루반죽, 땅콩, 계란, 설탕",오븐구이,"#서양식, #디저트, #간편식",#빵,베이커리,달콤한 소보로가 듬뿍 올라간 빵입니다.,"강력분, 물, 이스트, 제빵개량제, 소금, 버터, 분유, 달걀, 설탕, 토핑용 소보로, 중력분, 설탕, 버터, 땅콩버터, 달걀, 물엿, 분유, 베이킹파우더, 소금","1. 버터를 제외한 전 재료를 믹싱볼에 넣은 후 1단으 스테인리스 볼에 버터, 땅콩버터, 물엿, 설탕,로1분 수화시키고, 2단으로 2분 믹싱한다. 클린업 소금을 넣어 거품기로 부드럽게 푼 후 달걀을단계에서 버터를 첨가하고 최종단계(부드럽고 조금씩 넣으면서 크림화시킨다. 크림화 후 체에매끄러우며 신장성이 최대인 단계)에서 믹싱을 친 가루를 넣고 스크레이퍼 혹은 손끝으로 포슬끝낸다(1단으로 2분, 2단으로 10분). 반죽 온도는 포슬한 토핑을 완성한다.27℃ 전후가 되도록 한다. 7. 중간 발효된 빵 반죽에 물칠을 한 후 소보로 토핑2. 온도 27℃, 습도 75~80%에서 60분간 1차 위에 물 묻은 부분을 올려 손으로 세게 누르면서발효시킨다. 소보로 토핑이 반죽에 묻도록 한다.3. 46g씩 분할한다. 8. 토핑이 묻은 쪽이 위로 오게 하여 팬에 올린다.4. 양손에 덧가루를 약간 묻힌 후 왼손을 반듯하게 9. 온도 38℃, 습도 85%에서 30~35분 정도 2차펴고 그 위에 반죽을 올려놓는다. 오른손 손가락을 발효시킨다.벌려 반죽을 살짝 움켜쥐고 오른손 손가락 끝이 10. 윗불 190℃, 밑불 160℃에서 10~15분간 굽는다.왼쪽 손바닥을 긁듯이 하여 둥글리기 한다. 오븐 속 위치에 따라 온도 차이가 있으므로5. 표피가 건조되지 않도록 비닐을 덮어 상온에서 윗면 색이 약간 나면 철판의 위치를 바꾸어10~15분간 중간 발표시킨다. 고르게 색이 나도록 한다.6. 중력분, 분유, 베이킹파우더를 섞어 체에 친다.사용조미료 : 소금, 버터, 설탕, 땅콩버터, 물엿",팜킷,소보로빵
386,식빵,"밀가루반죽, 버터",오븐구이,"#서양식, #디저트, #간편식",#빵,베이커리,다양한 토핑을 얹어 만든 빵입니다.,"강력분, 물, 이스트, 제빵개량제, 설탕, 버터, 분유, 소금","1. 버터을 제외한 모든 재료를 믹싱볼에 넣은 후 6. 두께가 일정하도록 반죽을 밀대로 밀어 펴면서1단으로 1분 수화시키고, 2단으로 2분 믹싱 가스를 뺀다. 세 겹 접기 후 둥글게 말기 하여한다. 클린업 단계에서 버터를 첨가하고 이음매를 잘 봉한다.일반 식빵보다 20~25% 더 믹싱한다(1단으로 7. 기름칠한 팬에 이음매가 바닥 쪽으로 가도록2분, 2단으로 15분). 최종단계 후기의 반죽을 세 덩이씩 팬닝한다. 밑면이 평평하게 잘 나오게만든다. 하기 위해서는 반죽을 넣고 가볍게 눌러준다.2. 온도 30℃, 습도 75~80%에서 15~30분간 1차 8. 온도 38℃, 습도 80~95%에서 반죽이 팬발효시킨다. 옆면과 동일한 높이가 되도록 2차 발효시킨다3. 170g씩 분할한다. (40~45분 정도).4. 작업대 위에 덧가루를 약간 뿌린 후, 반죽을 9. 윗불 170℃, 밑불 190℃에서 30~40분간굽는다.놓고 두손으로 가볍게 감싸면서 작업대에 충분히 구워야 주저앉지 않는다.손날을 대고 원형을 그려가며 표면이 매끄럽도록둥글리기 한다.5. 실온에서 10~15분간 중간 발효시킨다. 이때표피가 건조되지 않도록 조치한다.사용조미료 : 설탕, 버터, 소금",팜킷,식빵
